school_bad,team2014,cfrr,id
Alachua ,4,0.85,161
Archer ,4,1,171
Chiles,2,0.71,510
Duval,1,0.74,21
Finley,1,0.95,31
Foster,1,0.84,41
Glen Springs,1,1,331
Hidden Oak,3,0.84,482
High Spr. Comm. ,3,0.72,461
Idylwild,3,0.74,321
Irby,2,0.95,571
Lake Forest,4,0.74,71
Littlewood,3,0.77,91
Meadowbrook,1,0.93,520
Metcalfe ,4,0.54,101
Newberry elem,3,0.99,531
Norton,2,0.99,541
Rawlings ,2,0.59,341
Shell,NA,0.9,281
Talbot,2,0.94,561
Terwilliger ,2,0.62,311
Waldo,4,0.73,291
Wiles,3,0.88,501
Williams,1,0.67,111
Fernside,2,1,341
Prairie View,NA,1,500
Rawlings,2,1,341
Bishop,2,0.69,121
Ft. Clarke,3,0.88,481
Hawthorne,3,0.76,201
High Spr. Comm. ,3,0.47,461
Kanapaha,4,0.65,502
Lincoln,2,0.62,112
Mebane,4,0.75,221
Oak View,1,0.83,591
Westwood,1,0.81,141
Buchholz,2,0.51,431
Eastside,2,0.39,421
Gainesville,3,0.41,151
Hawthorne,3,0.32,201
Lofton,1,0.57,411
Newberry,3,0.65,261
Santa Fe,1,0.72,271
A Quinn ,4,0.42,52
Horizon,1,0.15,412
