"","id","doses","totMem","immRate","year","type","gradeRange","pubPriv","team2014","p.vfc","frLunch13","school"
"1",161,119,424,28,2006,"elem","elem","pub","4",52.760736196319,64.25,"ALACHUA ELEM."
"2",171,118,470,25,2006,"elem","elem","pub","4",49.8181818181818,59.43,"ARCHER ELEM."
"3",510,279,715,39,2006,"elem","elem","pub","2",21.5568862275449,34.83,"CHILES ELEM."
"4",21,29,321,9,2006,"elem","elem","pub","1",87.218045112782,96.6,"DUVAL ELEM."
"5",31,151,459,33,2006,"elem","elem","pub","1",48.3333333333333,56.25,"JJ FINLEY ELEM."
"6",41,134,462,29,2006,"elem","elem","pub",NA,51.0548523206751,61.35,"STEPHEN FOSTER ELEM."
"7",331,107,411,26,2006,"elem","elem","pub","1",36.7892976588629,45.53,"GLEN SPRINGS ELEM."
"8",482,349,852,41,2006,"elem","elem","pub","3",20.4761904761905,29.5,"HIDDEN OAK ELEM."
"9",461,274,857,32,2006,"elem","elem","pub","3",32.6027397260274,39.86,"HIGH SPRINGS ELEM."
"10",321,196,652,30,2006,"elem","elem","pub","3",73.5593220338983,83.18,"IDYLWILD ELEM."
"11",571,111,529,21,2006,"elem","elem","pub","2",59.5330739299611,65.35,"IRBY ELEM."
"12",71,61,379,16,2006,"elem","elem","pub","4",88.4615384615385,96,"LAKE FOREST ELEM."
"13",91,193,667,29,2006,"elem","elem","pub","3",78.8461538461538,59.55,"LITTLEWOOD ELEM."
"14",101,41,451,9,2006,"elem","elem","pub","4",80.5970149253731,94.84,"METCALFE ELEM."
"15",531,124,539,23,2006,"elem","elem","pub","3",51.2345679012346,54.75,"NEWBERRY ELEM."
"16",541,155,645,24,2006,"elem","elem","pub","2",48.695652173913,57.25,"NORTON ELEM."
"17",341,35,388,9,2006,"elem","elem","pub","2",86.7647058823529,78.98,"RAWLINGS & FERNSIDE"
"18",281,26,197,13,2006,"elem","elem","pub",NA,75,57.92,"SHELL ELEM."
"19",561,338,704,48,2006,"elem","elem","pub","2",21.9718309859155,31.99,"TALBOT ELEM."
"20",311,91,648,14,2006,"elem","elem","pub","2",78.3687943262411,85.21,"TERWILLIGER ELEM."
