"","Farm.Mailing.Address.","lat","lon","location_type","forAddress"
"1","The Farm at Rockledge Gardens, Florida","28.325","-80.732778","APPROXIMATE","Rockledge, FL, USA"
"2","398 N Putnam Grove Rd. Oak Hill Florida","28.8535423","-80.8660246","ROOFTOP","398 North Putnam Grove Road, Oak Hill, FL 32759, USA"
"3","1973 Palmer Dr. Melbourne  Florida","28.150676","-80.653767","ROOFTOP","1973 Palmer Drive, Melbourne, FL 32935, USA"
"4","3350 N 57 Dr., Hollywood Florida","26.039919","-80.203789","ROOFTOP","3350 North 57th Drive, Hollywood, FL 33021, USA"
"5","Patch Garden, Florida","30.8644898","-87.0925157","GEOMETRIC_CENTER","Patch Road, Milton, FL 32570, USA"
"6","South FL Urban Farms, Florida","30.2766642","-81.7207475","GEOMETRIC_CENTER","Urban Road, Jacksonville, FL 32210, USA"
"7","Boutique Farms, Florida","27.6648274","-81.5157535","APPROXIMATE","Florida, USA"
"8","3615 County Rd. 621 E Lake Placid Florida","27.3093485","-81.2669629","ROOFTOP","3615 County Road 621, Lake Placid, FL 33852, USA"
"9","6325 81st St. Vero Beach Florida","27.740188","-80.4569439","ROOFTOP","6325 81st Street, Vero Beach, FL 32967, USA"
"10","8006 SW Kanner Hwy. Indiantown Florida","27.0421749","-80.36219","ROOFTOP","8006 Southwest Kanner Highway, Kai Kai Farm, Indiantown, FL 34956, USA"
"11","6800 SE 38th St. Hobe Sound Florida","27.059498","-80.1364323","APPROXIMATE","Hobe Sound, FL, USA"
"12","9450 SE Gomex Ave. Hobe Sound Florida","27.089212","-80.141041","ROOFTOP","9450 Southeast Gomez Avenue, Hobe Sound, FL 33455, USA"
"13","PO Box 924095 , Homestead Florida","25.4687224","-80.4775569","APPROXIMATE","Homestead, FL, USA"
"14","17425 SW 172 St. Miami Florida","25.606836","-80.475859","ROOFTOP","17425 Southwest 172nd Street, Miami, FL 33187, USA"
"15","24430 SW 164th Ave. Homestead Florida","25.5396503","-80.4576706","RANGE_INTERPOLATED","24430 Southwest 164th Avenue, Homestead, FL 33031, USA"
"16","9050 NE 12th Dr. Okeechobee Florida","27.324166","-80.786761","ROOFTOP","9050 Northeast 12th Drive, Okeechobee, FL 34972, USA"
"17","10066 Lee Rd. Boynton Beach Florida","26.4977786","-80.206263","ROOFTOP","10066 120th Street South, Boynton Beach, FL 33473, USA"
"18","9905 Clint Moore Rd. Boca Raton Florida","26.409851","-80.201663","ROOFTOP","9905 Clint Moore Road, Boca Raton, FL 33496, USA"
"19","14095 US 441, Delray Beach Florida","26.4690504","-80.2047885","ROOFTOP","14095 U.S. 441, Delray Beach, FL 33446, USA"
"20","398 N Putnam Grove Rd., Oak Hill Florida","28.8535423","-80.8660246","ROOFTOP","398 North Putnam Grove Road, Oak Hill, FL 32759, USA"
"21","13955 SW 248 St.  Florida","25.537396","-80.4178529","ROOFTOP","13955 Southwest 248th Street, Homestead, FL 33032, USA"
"22","Farmer Jay, Florida","30.9529611","-87.151359","APPROXIMATE","Jay, FL 32565, USA"
"23","Gail Caceres, Florida","27.6648274","-81.5157535","APPROXIMATE","Florida, USA"
"24","9308 SS 225 Drive Hawthorne,32640 Florida","29.568405","-82.082333","ROOFTOP","9308 Southeast 225th Drive, Hawthorne, FL 32640, USA"
"25","900 Central Ave SW Jennings,32052 Florida","26.5770171","-80.059861","RANGE_INTERPOLATED","900 West Jennings Street, Lantana, FL 33462, USA"
"26","17275 99th Dr McAlpin,32062 Florida",NA,NA,NA,NA
"27","680 Industrial Park Dr Perry,32348 Florida","30.0986984","-83.5783017","GEOMETRIC_CENTER","East Park Street, Perry, FL 32348, USA"
"28","310 East River Road East Palatka,32131 Florida","29.67826","-81.619631","ROOFTOP","310 East River Road, East Palatka, FL 32131, USA"
"29","10818 SW 90th Street Graham, Florida","29.848858","-82.225332","ROOFTOP","10818 Southwest 90th Street, Hampton, FL 32044, USA"
"30","18120 NE ST RD 26 Hawthorne,32640 Florida","29.5919136","-82.0873181","APPROXIMATE","Hawthorne, FL 32640, USA"
"31","9240 N. W. 132 Way Lake Butler,32054 Florida","30.068437","-82.466567","ROOFTOP","9240 Northwest 132nd Way, Lake Butler, FL 32054, USA"
