"","id","school","doses","totMem","immRate","year","type","gradeRange","pubPriv","frLunch13","percent_free_reduced_lunch"
"1",161,"Alachua Elem",118.72,424,0.28,2006,"elem","elem","pub",64.25,64.25
"2",171,"Archer Elem",117.5,470,0.25,2006,"elem","elem","pub",59.43,59.43
"3",510,"Chiles Elem",278.85,715,0.39,2006,"elem","elem","pub",34.83,34.83
"4",21,"Duval Elem",28.89,321,0.09,2006,"elem","elem","pub",96.6,96.6
"5",31,"JJ Finley Elem",151.47,459,0.33,2006,"elem","elem","pub",56.25,56.25
"6",41,"Stephen Foster Elem",133.98,462,0.29,2006,"elem","elem","pub",61.35,61.35
"7",331,"Glenn Springs Elem",106.86,411,0.26,2006,"elem","elem","pub",45.53,45.53
"8",482,"Hidden Oak Elem",349.32,852,0.41,2006,"elem","elem","pub",29.5,29.5
"9",461,"High Springs Community",274.24,857,0.32,2006,"elem","elem","pub",39.86,39.86
"10",321,"Idylwild Elem",195.6,652,0.3,2006,"elem","elem","pub",83.18,83.18
"11",571,"Irby Elem",111.09,529,0.21,2006,"elem","elem","pub",65.35,65.35
"12",71,"Lake Forest Elem",60.64,379,0.16,2006,"elem","elem","pub",96,96
"13",91,"Littlewood Elem",193.43,667,0.29,2006,"elem","elem","pub",59.55,59.55
"14",101,"Metcalfe Elem",40.59,451,0.09,2006,"elem","elem","pub",94.84,94.84
"15",531,"Newberry Elem",123.97,539,0.23,2006,"elem","elem","pub",54.75,54.75
"16",541,"Norton Elem",154.8,645,0.24,2006,"elem","elem","pub",57.25,57.25
"17",341,"Rawlings Elem",34.92,388,0.09,2006,"elem","elem","pub",78.98,78.98
"18",281,"Shell Elem",25.61,197,0.13,2006,"elem","elem","pub",57.92,57.92
"19",561,"Talbot Elem",337.92,704,0.48,2006,"elem","elem","pub",31.99,31.99
"20",311,"Terwilliger Elem",90.72,648,0.14,2006,"elem","elem","pub",85.21,85.21
"21",291,"Waldo Elem",33.49,197,0.17,2006,"elem","elem","pub",85.99,85.99
"22",111,"Williams Elem",184.62,543,0.34,2006,"elem","elem","pub",74.73,74.73
"23",501,"Wiles Elem",131.48,692,0.19,2006,"elem","elem","pub",44.32,44.32
"24",121,"Bishop Middle",152.88,728,0.21,2006,"mid","mid","pub",60.03,60.03
"25",481,"Ft. Clarke Middle",205,820,0.25,2006,"mid","mid","pub",42.25,42.25
"26",502,"Kanapha Middle",216,900,0.24,2006,"mid","mid","pub",45.6,45.6
"27",112,"Lincoln Middle",151.83,723,0.21,2006,"mid","mid","pub",53.76,53.76
"28",221,"Mebane Middle",69.44,434,0.16,2006,"mid","mid","pub",62.67,62.67
"29",591,"Oakview Middle",132.93,633,0.21,2006,"mid","mid","pub",44.71,44.71
"30",141,"Westwood Middle",308.14,994,0.31,2006,"mid","mid","pub",54.12,54.12
"31",161,"Alachua Elem",152.64,424,0.36,2009,"elem","elem","pub",64.25,64.25
"32",171,"Archer Elem",310.2,470,0.66,2009,"elem","elem","pub",59.43,59.43
"33",510,"Chiles Elem",386.1,715,0.54,2009,"elem","elem","pub",34.83,34.83
"34",21,"Duval Elem",173.34,321,0.54,2009,"elem","elem","pub",96.6,96.6
