"","X","district","id","School","totMem","free","reduced","naf","frper"
"1",1,"ALACHUA",21,"CHARLES W. DUVAL ELEM SCHOOL",310,271,12,"283","91.29"
"2",1,"ALACHUA",31,"J. J. FINLEY ELEMENTARY SCHOOL",548,243,30,"273","49.82"
"3",1,"ALACHUA",41,"STEPHEN FOSTER ELEMENTARY SCHL",459,239,31,"270","58.82"
"4",1,"ALACHUA",52,"A.QUINN JONES/EXCEP.STUD.CTR.",76,63,5,"68","89.47"
"5",1,"ALACHUA",71,"LAKE FOREST ELEMENTARY SCHOOL",311,287,10,"297","95.5"
"6",1,"ALACHUA",81,"SIDNEY LANIER CENTER",138,60,5,"65","47.1"
"7",1,"ALACHUA",82,"HOSPITAL HOMEBOUND",36,5,NA,"5","13.89"
"8",1,"ALACHUA",91,"LITTLEWOOD ELEMENTARY SCHOOL",599,255,35,"290","48.41"
"9",1,"ALACHUA",101,"W. A. METCALFE ELEMENTARY SCHO",385,340,21,"361","93.77"
"10",1,"ALACHUA",111,"JOSEPH WILLIAMS ELEM. SCHOOL",572,387,24,"411","71.85"
"11",1,"ALACHUA",112,"ABRAHAM LINCOLN MIDDLE SCHOOL",694,315,31,"346","49.86"
"12",1,"ALACHUA",121,"HOWARD W. BISHOP MIDDLE SCHOOL",686,340,41,"381","55.54"
"13",1,"ALACHUA",141,"WESTWOOD MIDDLE SCHOOL",998,427,72,"499","50"
"14",1,"ALACHUA",151,"GAINESVILLE HIGH SCHOOL",1927,623,111,"734","38.09"
"15",1,"ALACHUA",161,"ALACHUA ELEMENTARY SCHOOL",377,208,32,"240","63.66"
"16",1,"ALACHUA",171,"ARCHER ELEMENTARY",484,243,27,"270","55.79"
"17",1,"ALACHUA",201,"HAWTHORNE MIDDLE/HIGH SCHOOL",311,190,24,"214","68.81"
"18",1,"ALACHUA",221,"A. L. MEBANE MIDDLE SCHOOL",388,179,31,"210","54.12"
"19",1,"ALACHUA",261,"NEWBERRY HIGH SCHOOL",587,214,34,"248","42.25"
"20",1,"ALACHUA",271,"SANTA FE HIGH SCHOOL",1069,321,51,"372","34.8"
"21",1,"ALACHUA",281,"CHESTER SHELL ELEMENTARY SCHL",200,146,15,"161","80.5"
"22",1,"ALACHUA",291,"WALDO COMMUNITY SCHOOL",216,169,10,"179","82.87"
"23",1,"ALACHUA",311,"MYRA TERWILLIGER ELEM. SCHOOL",692,521,53,"574","82.95"
"24",1,"ALACHUA",321,"IDYLWILD ELEMENTARY SCHOOL",644,456,40,"496","77.02"
"25",1,"ALACHUA",331,"GLEN SPRINGS ELEMENTARY SCHOOL",438,127,46,"173","39.5"
"26",1,"ALACHUA",341,"MARJORIE KINNAN RAWLINGS ELEM",377,351,10,"361","95.76"
"27",1,"ALACHUA",343,"CHARACTER COUNTS CENTER",35,30,1,"31","88.57"
"28",1,"ALACHUA",411,"PROFESSIONAL ACADEMY MAGNET AT",231,120,17,"137","59.31"
"29",1,"ALACHUA",412,"HORIZON CTR. ALTERNATIVE SCHL",104,96,5,"101","97.12"
"30",1,"ALACHUA",421,"EASTSIDE HIGH SCHOOL",1315,578,67,"645","49.05"
"31",1,"ALACHUA",431,"F. W. BUCHHOLZ HIGH SCHOOL",2171,487,80,"567","26.12"
"32",1,"ALACHUA",461,"HIGH SPRINGS COMMUNITY SCHOOL",837,248,41,"289","34.53"
"33",1,"ALACHUA",481,"FORT CLARKE MIDDLE SCHOOL",829,272,52,"324","39.08"
"34",1,"ALACHUA",482,"HIDDEN OAK ELEMENTARY SCHOOL",713,151,37,"188","26.37"
"35",1,"ALACHUA",492,"FEARNSIDE FAMILY SERVICES CENT",60,60,NA,"60","100"
"36",1,"ALACHUA",500,"PRAIRIE VIEW ACADEMY",87,87,NA,"87","100"
"37",1,"ALACHUA",501,"KIMBALL WILES ELEM. SCHOOL",728,228,42,"270","37.09"
"38",1,"ALACHUA",502,"KANAPAHA MIDDLE SCHOOL",971,350,61,"411","42.33"
"39",1,"ALACHUA",503,"WILES HEAD START",68,68,NA,"68","100"
"40",1,"ALACHUA",510,"LAWTON M. CHILES ELEM. SCHOOL",623,204,13,"217","34.83"
"41",1,"ALACHUA",520,"MEADOWBROOK ELEMENTARY SCHOOL",581,159,29,"188","32.36"
"42",1,"ALACHUA",531,"NEWBERRY ELEMENTARY SCHOOL",493,228,20,"248","50.3"
"43",1,"ALACHUA",541,"C. W. NORTON ELEMENTARY SCHOOL",598,257,49,"306","51.17"
"44",1,"ALACHUA",561,"WILLIAM S. TALBOT ELEM SCHOOL",686,171,26,"197","28.72"
"45",1,"ALACHUA",571,"W. W. IRBY ELEMENTARY SCHOOL",493,284,29,"313","63.49"
"46",1,"ALACHUA",591,"OAK VIEW MIDDLE SCHOOL",658,253,29,"282","42.86"
"47",1,"ALACHUA",602,"NORTH AMERICAN FAMILY INSTITUT",23,NA,NA,"","0"
"48",1,"ALACHUA",603,"GAINESVILLE WILDERNESS INSTITU",19,2,1,"3","15.79"
"49",1,"ALACHUA",604,"PACE",37,2,NA,"2","5.41"
"50",1,"ALACHUA",701,"ALACHUA COUNTY JAIL",17,2,NA,"2","11.76"
"51",1,"ALACHUA",950,"THE ONE ROOM SCHOOL HOUSE PROJ",174,108,18,"126","72.41"
"52",1,"ALACHUA",951,"MICANOPY AREA COOPERATIVE SCHO",118,54,16,"70","59.32"
"53",1,"ALACHUA",953,"CARING & SHARING LEARNING SCHO",133,103,19,"122","91.73"
"54",1,"ALACHUA",955,"EINSTEIN MONTESSORI SCHOOL",112,52,13,"65","58.04"
"55",1,"ALACHUA",956,"EXPRESSIONS LEARNING ARTS ACAD",89,12,3,"15","16.85"
"56",1,"ALACHUA",957,"ALACHUA LEARNING CENTER, INC.",104,59,10,"69","66.35"
"57",1,"ALACHUA",958,"GENESIS PREPARATORY SCHOOL",70,51,3,"54","77.14"
"58",1,"ALACHUA",961,"MICANOPY MIDDLE SCHOOL, INC.",69,41,8,"49","71.01"
"59",1,"ALACHUA",971,"HOGGETOWNE MIDDLE SCHOOL",104,62,7,"69","66.35"
"60",1,"ALACHUA",981,"HEALTHY LEARNING ACADEMY CHART",84,3,2,"5","5.95"
"61",1,"ALACHUA",991,"SIATECH GAINESVILLE",216,NA,NA,"","0"
"62",1,"ALACHUA",1001,"SWEETWATER BRANCH ACADEMY",70,36,16,"52","74.29"
"63",1,"ALACHUA",1002,"SWEETWATER BRANCH ACADEMY ELEM",120,78,13,"91","75.83"
"64",1,"ALACHUA",1003,"MYCROSCHOOL GAINESVILLE",302,69,2,"71","23.51"
"65",1,"ALACHUA",1010,"ONE ROOM MIDDLE SCHOOL",37,22,2,"24","64.86"
"66",1,"ALACHUA",1011,"ALACHUA LEARNING CENTER , INC.",61,32,5,"37","60.66"
"67",1,"ALACHUA",7001,"ALACHUA VIRTUAL INSTRUCTION PR",38,2,NA,"2","5.26"
"68",1,"ALACHUA",9029,"N. FLORIDA JUVENILE DETENTION",26,3,1,"4","15.38"
"69",2,"BAKER",12,"BAKER COUNTY SENIOR HIGH SCHOO",1249,434,89,"523","41.87"
"70",2,"BAKER",13,"MACCLENNY ELEMENTARY SCHOOL",633,325,57,"382","60.35"
"71",2,"BAKER",22,"PREK/KINDERGARTEN CENTER",611,372,31,"403","65.96"
"72",2,"BAKER",31,"J FRANKLYN KELLER INTERMEDIATE",721,391,62,"453","62.83"
"73",2,"BAKER",32,"BAKER COUNTY MIDDLE SCHOOL",1148,537,108,"645","56.18"
"74",2,"BAKER",91,"WESTSIDE ELEMENTARY SCHOOL",620,377,48,"425","68.55"
"75",3,"BAY",61,"BAY HIGH SCHOOL",1325,616,136,"752","56.75"
"76",3,"BAY",71,"MERRITT BROWN MIDDLE SCHOOL",807,405,90,"495","61.34"
"77",3,"BAY",81,"HUTCHISON BEACH ELEMENTARY SCH",754,429,102,"531","70.42"
"78",3,"BAY",91,"CEDAR GROVE ELEMENTARY SCHOOL",522,408,52,"460","88.12"
"79",3,"BAY",101,"CALLAWAY ELEMENTARY SCHOOL",548,382,39,"421","76.82"
"80",3,"BAY",111,"MERRIAM CHERRY STREET ELEM.",430,313,31,"344","80"
"81",3,"BAY",131,"LUCILLE MOORE ELEMENTARY SCHL",524,433,35,"468","89.31"
"82",3,"BAY",141,"EVERITT MIDDLE SCHOOL",804,536,77,"613","76.24"
"83",3,"BAY",151,"HILAND PARK ELEMENTARY SCHOOL",792,439,76,"515","65.03"
"84",3,"BAY",161,"JINKS MIDDLE SCHOOL",629,472,68,"540","85.85"
"85",3,"BAY",171,"LYNN HAVEN ELEMENTARY SCHOOL",736,284,73,"357","48.51"
"86",3,"BAY",191,"OAKLAND TERRACE SCHL FOR VIS",363,305,20,"325","89.53"
"87",3,"BAY",201,"SURFSIDE MIDDLE SCHOOL",825,360,78,"438","53.09"
"88",3,"BAY",211,"PARKER ELEMENTARY SCHOOL",642,474,60,"534","83.18"
"89",3,"BAY",221,"SOUTHPORT ELEMENTARY SCHOOL",420,252,43,"295","70.24"
"90",3,"BAY",231,"SPRINGFIELD ELEMENTARY SCHOOL",470,399,44,"443","94.26"
"91",3,"BAY",241,"ST. ANDREW SCHOOL",118,96,6,"102","86.44"
"92",3,"BAY",251,"WALLER ELEMENTARY SCHOOL",526,402,51,"453","86.12"
"93",3,"BAY",281,"MARGARET K. LEWIS IN MILLVILLE",145,84,20,"104","71.72"
"94",3,"BAY",291,"OSCAR PATTERSON ELEM MAGNET",402,363,19,"382","95.02"
"95",3,"BAY",331,"MOWAT MIDDLE SCHOOL",950,391,85,"476","50.11"
"96",3,"BAY",341,"RUTHERFORD HIGH SCHOOL",1333,612,142,"754","56.56"
"97",3,"BAY",461,"DEER POINT ELEMENTARY SCHOOL",428,145,28,"173","40.42"
"98",3,"BAY",471,"NORTHSIDE ELEMENTARY SCHOOL",684,410,64,"474","69.3"
"99",3,"BAY",481,"TOM P. HANEY VOC-TECH CENTER",NA,NA,NA,"#","#"
"100",3,"BAY",491,"A. CRAWFORD MOSLEY HIGH SCHOOL",1650,403,106,"509","30.85"
"101",3,"BAY",501,"TYNDALL ELEMENTARY SCHOOL",819,159,160,"319","38.95"
"102",3,"BAY",511,"TOMMY SMITH ELEMENTARY SCHOOL",744,404,82,"486","65.32"
"103",3,"BAY",521,"PATRONIS ELEMENTARY SCHOOL",805,306,46,"352","43.73"
"104",3,"BAY",531,"NEW HORIZONS LEARNING CENTER",103,76,10,"86","83.5"
"105",3,"BAY",541,"DEANE BOZEMAN SCHOOL",1221,594,125,"719","58.89"
