DISTRICT_NAME	SCHOOL_NAME_LONG	SCHOOL_NAME_SHORT	PHONE_NUMBER	PHYSICAL_ADDRESS	PHYSICAL_CITY	PHYSICAL_STATE	PHYSICAL_ZIP	MAILING_ADDRESS1	MAILING_ADDRESS2	MAILING_CITY	MAILING_STATE	MAILING_ZIP	PRINCIPAL_LAST	PRINCIPAL_FIRST	LATITUDE	LONGITUDE	WEB_ADDRESS	EMAIL_ADDRESS_PRI
ALACHUA     	CHARLES W. DUVAL ELEMENTARY SCHOOL                                                                  	CHARLES W. DUVAL ELEM SCHOOL                 	3529556703	2106 NE 8TH AVE                                                                 	GAINESVILLE         	FL	32641-4735	2106 NE 8TH AVE                         	                                        	GAINESVILLE         	FL	32641-4735	BROWN                         	LAWSON              	29.6591	-82.2978	http://www.sbac.edu/pages/ACPS                                                                      	duval@gm.sbac.edu                                                               
ALACHUA     	J. J. FINLEY ELEMENTARY SCHOOL                                                                      	J. J. FINLEY ELEMENTARY SCHOOL               	3529556705	1912 NW 5TH AVE                                                                 	GAINESVILLE         	FL	32603-1517	1912 NW 5TH AVE                         	                                        	GAINESVILLE         	FL	32603-1517	VALDES                        	KATHLEEN            	29.6561	-82.3488	http://www.sbac.edu/pages/ACPS                                                                      	finley@gm.sbac.edu                                                              
ALACHUA     	STEPHEN FOSTER ELEMENTARY SCHOOL                                                                    	STEPHEN FOSTER ELEMENTARY SCHL               	3529556706	3800 NW 6TH ST                                                                  	GAINESVILLE         	FL	32609-2243	3800 NW 6TH ST                          	                                        	GAINESVILLE         	FL	32609-2243	"KUHN, III                     "	JAMES               	29.6879	-82.3331	http://www.sbac.edu/pages/ACPS                                                                      	foster@gm.sbac.edu                                                              
ALACHUA     	A.QUINN JONES/EXCEP.STUDENT CENTER                                                                  	A.QUINN JONES/EXCEP.STUD.CTR.                	3529556840	1108 NW 7TH AVE                                                                 	GAINESVILLE         	FL	32601-4949	1108 NW 7TH AVE                         	                                        	GAINESVILLE         	FL	32601-4949	KELLER                        	SUE                 	29.658	-82.336	http://www.sbac.edu/pages/ACPS                                                                      	kellersp@gm.sbac.edu                                                            
ALACHUA     	LAKE FOREST ELEMENTARY SCHOOL                                                                       	LAKE FOREST ELEMENTARY SCHOOL                	3529556710	4401 SE 4TH AVE                                                                 	GAINESVILLE         	FL	32641-7612	4401 SE 4TH AVE                         	                                        	GAINESVILLE         	FL	32641-7612	HILL                          	DIANE               	29.6479	-82.2712	http://www.sbac.edu/pages/ACPS                                                                      	hilldm@gm.sbac.edu                                                              
ALACHUA     	SIDNEY LANIER CENTER                                                                                	SIDNEY LANIER CENTER                         	3529556841	312 NW 16TH AVE                                                                 	GAINESVILLE         	FL	32601-4205	312 NW 16TH AVE                         	                                        	GAINESVILLE         	FL	32601-4205	SCHULTZ                       	DENISE              	29.6671	-82.3283	http://www.sbac.edu/pages/ACPS                                                                      	lanier@gm.sbac.edu                                                              
ALACHUA     	HOSPITAL HOMEBOUND                                                                                  	HOSPITAL HOMEBOUND                           	3529557671	1817 E UNIVERSITY AVE                                                           	GAINESVILLE         	FL	32641-2629	1817 E UNIVERSITY AVE                   	                                        	GAINESVILLE         	FL	32641-2629	BLACK                         	KATHY               	29.6544	-82.299	http://www.sbac.edu/pages/ACPS                                                                      	blackkv@gm.sbac.edu                                                             
ALACHUA     	ANCHOR SCHOOL                                                                                       	ANCHOR SCHOOL                                	3529556841	312 NW 16TH AVE                                                                 	GAINESVILLE         	FL	32601-4205	312 NW 16TH AVENUE                      	                                        	GAINESVILLE         	FL	32601-0000	COSTELLO                      	CATHY               	29.6671	-82.3283	http://www.sbac.edu/~lanier/                                                                        	anchor@gm.sbac.edu                                                              
ALACHUA     	LITTLEWOOD ELEMENTARY SCHOOL                                                                        	LITTLEWOOD ELEMENTARY SCHOOL                 	3529556712	812 NW 34TH ST                                                                  	GAINESVILLE         	FL	32605-5027	812 NW 34TH ST                          	                                        	GAINESVILLE         	FL	32605-5027	HOMARD                        	JENNIFER            	29.6603	-82.3737	http://www.sbac.edu/pages/ACPS                                                                      	homardjm@gm.sbac.edu                                                            
ALACHUA     	W. A. METCALFE ELEMENTARY SCHOOL                                                                    	W. A. METCALFE ELEMENTARY SCHOOL             	3529556713	1250 NE 18TH AVE                                                                	GAINESVILLE         	FL	32609-3893	1250 NE 18TH AVE                        	                                        	GAINESVILLE         	FL	32609-3893	PHILLIPS                      	PAT                 	29.6688	-82.3085	http://www.sbac.edu/pages/ACPS                                                                      	phillipt@gm.sbac.edu                                                            
ALACHUA     	JOSEPH WILLIAMS ELEMENTARY SCHOOL                                                                   	JOSEPH WILLIAMS ELEM. SCHOOL                 	3529556719	1245 SE 7TH AVE                                                                 	GAINESVILLE         	FL	32641-7151	1245 SE 7TH AVE                         	                                        	GAINESVILLE         	FL	32641-7151	HUTCHINSON                    	KARLA               	29.6453	-82.3084	http://www.williamspta.org/                                                                         	hutchikn@gm.sbac.edu                                                            
ALACHUA     	ABRAHAM LINCOLN MIDDLE SCHOOL                                                                       	ABRAHAM LINCOLN MIDDLE SCHOOL                	3529556711	1001 SE 12TH ST                                                                 	GAINESVILLE         	FL	32641-8101	1001 SE 12TH ST                         	                                        	GAINESVILLE         	FL	32641-8101	LEWIS                         	DON                 	29.6415	-82.309	http://www.sbac.edu/pages/ACPS                                                                      	lewisds@gm.sbac.edu                                                             
