"Date","Max_TemperatureF","Mean_TemperatureF","Min_TemperatureF"
2000-01-01,77,62,48
2000-01-02,78,64,51
2000-01-03,79,64,50
2000-01-04,81,66,51
2000-01-05,60,52,43
2000-01-06,73,58,43
2000-01-07,66,58,51
2000-01-08,75,60,44
2000-01-09,79,65,51
2000-01-10,77,66,55
2000-01-11,73,58,43
2000-01-12,75,58,41
2000-01-13,78,58,39
2000-01-14,59,48,36
2000-01-15,62,48,34
2000-01-16,69,50,32
2000-01-17,64,53,42
2000-01-18,72,62,51
2000-01-19,64,60,55
2000-01-20,72,60,45
2000-01-21,55,42,30
2000-01-22,64,46,27
2000-01-23,75,56,37
2000-01-24,60,51,42
2000-01-25,50,42,33
2000-01-26,46,37,25
2000-01-27,50,38,26
2000-01-28,53,45,37
2000-01-29,66,58,50
2000-01-30,73,60,48
2000-01-31,48,44,39
2000-02-01,59,46,32
2000-02-02,62,52,39
2000-02-03,66,54,43
2000-02-04,69,52,36
2000-02-05,53,42,28
2000-02-06,61,43,25
2000-02-07,64,48,32
2000-02-08,66,52,39
2000-02-09,66,52,37
2000-02-10,70,53,36
2000-02-11,71,55,39
2000-02-12,73,62,51
2000-02-13,75,62,50
2000-02-14,68,64,61
2000-02-15,73,62,46
2000-02-16,81,62,42
2000-02-17,81,66,51
2000-02-18,79,64,50
2000-02-19,80,68,57
2000-02-20,70,59,46
2000-02-21,66,50,34
2000-02-22,64,54,45
2000-05-03,86,70,62
2000-05-04,84,68,53
2000-05-05,86,70,57
2000-05-06,86,70,57
2000-05-07,89,72,57
2000-05-08,88,71,55
2000-05-09,88,76,63
2000-05-10,91,78,66
2000-05-11,93,81,69
2000-05-12,95,78,62
2000-05-13,93,78,62
2000-05-14,93,81,69
2000-05-15,91,76,63
2000-05-16,88,77,66
2000-05-17,91,74,60
2000-05-18,91,76,61
2000-05-19,93,74,57
2000-05-20,95,78,62
2000-05-21,93,77,63
2000-05-22,87,75,64
2000-05-23,91,80,69
2000-05-24,93,82,72
2000-05-25,95,84,73
2000-05-26,95,82,73
2000-05-27,97,81,66
2000-05-28,97,83,69
2000-05-29,96,85,75
2000-05-30,86,76,64
2000-05-31,82,70,59
2000-06-09,70,NA,70
2000-06-10,89,80,70
2000-06-11,89,76,62
2000-06-12,91,80,70
2000-06-13,95,81,69
2000-06-14,93,81,71
2000-06-15,93,81,69
2000-06-16,95,80,69
2000-06-17,93,82,72
2000-06-18,93,82,71
2000-06-19,95,81,69
2000-06-20,93,82,70
2000-06-21,90,80,70
2000-06-22,87,78,71
2000-06-23,89,80,71
2000-06-24,90,72,68
2000-06-25,91,78,66
2000-06-26,89,78,69
2000-06-27,89,79,70
2000-06-28,89,77,66
2000-06-29,87,78,71
2000-06-30,84,78,73
2000-07-01,90,81,70
2000-07-02,90,76,64
2000-07-03,89,76,64
2000-07-04,91,78,66
2000-07-05,95,80,66
2000-07-06,97,84,73
2000-07-07,98,84,71
2000-07-08,91,80,71
2000-07-09,90,81,72
2000-07-10,93,80,66
2000-07-11,95,81,69
2000-07-12,91,81,73
2000-07-13,86,78,71
2000-07-14,88,82,75
2000-07-15,95,86,78
2000-07-16,91,79,69
2000-07-17,91,80,69
2000-07-18,96,84,75
2000-07-19,97,84,73
2000-07-20,98,84,71
2000-07-21,91,81,71
2000-07-22,88,80,73
2000-07-23,84,78,73
2000-07-24,81,76,72
2000-07-25,90,79,71
2000-07-26,89,78,69
2000-07-27,91,80,68
2000-07-28,90,80,71
2000-07-29,91,80,70
2000-07-30,108,87,69
2000-07-31,105,86,69
2000-08-01,93,82,73
2000-08-02,93,82,71
2000-08-03,109,80,72
2000-08-04,106,80,71
2000-08-05,91,82,73
2000-08-06,91,81,71
2000-08-07,91,80,70
2000-08-08,93,82,72
2000-08-09,93,83,73
